,car_names ,car_prices,car_ratings,car_review
0,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹399,3.8,"-2,468"
1,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹310,3.5,"-52,302"
2,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹649,3.5,"-17,267"
3,CADDLE & TOES Remote Control Toy Car Electric Chargeabl...,₹420,3.4,"-10,149"
4,WISHKEY Remote Control Super High Speed Racing Car With...,₹499,3.7,"-34,747"
5,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
6,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹313,3.6,"-15,021"
7,GOODTIMES TOYS RC Car – Rechargeable Remote Control Rac...,₹279,N/A,N/A
8,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹279,3.5,"-52,302"
9,fenterprises Remote Control Stunt Car 360° Rotation Mul...,₹445,3.9,"-3,718"
10,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹853,3.5,"-17,267"
11,frendo High Speed Mini 1:24 Scale Rechargeable Remote c...,₹699,3.8,"-1,147"
12,Xcillince Toys 4 Channel Remote control RC sports SUV F...,₹430,3.5,"-1,881"
13,TOYS TREK Remote Control Sports Racing Car,₹279,N/A,N/A
14,Toys World 3D Fast Steering Remote Car,₹260,3.4,"-18,693"
15,Xcillince Toys RC Car Chargable| Fun RC Toy and Gift fo...,₹447,3.4,"-1,340"
16,frendo HI SPEED RC CAR LAM Black,₹949,4.1,-19
17,Delta Enterprises Remote Control Car,₹873,N/A,N/A
18,ctm toys Tesla Cybertruck High Speed RC 2.4GHz Long Bat...,₹884,N/A,N/A
19,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹851,3.5,"-17,267"
20,Xcillince Toys xt_Wireless Remote Control Fast Modern C...,₹267,N/A,N/A
21,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹853,3.5,"-17,267"
22,magic toys High-Speed 4WD Spray RC Car - Remote Control...,"₹1,670",4,-64
23,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
24,Toyco Rechargeable Famous Remote Control Car with Smoke...,₹387,3.6,"-1,840"
25,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹536,3.5,"-52,302"
26,CADDLE & TOES New High Speed Sports Car With Rechargeab...,₹377,3.5,-550
